Municipio, Results
Barbosa
Girardota
Copacabana
Bello
Medellín
Envigado
Itagüí
Sabaneta
La Estrella
Caldas
Caucasia
El Bagre
Nechí
Tarazá
Cáceres
Zaragoza
Caracolí
Maceo
Puerto Berrío
Puerto Nare
Puerto Triunfo
Yondó
Cisneros
San Roque
Santo Domingo
Amalfi
Vegachí
Yalí
Yolombó
Segovia
Remedios 
Anorí
Santa Rosa de Osos
San Pedro de los Milagros
San José de la Montaña
Donmatías
Entrerríos
Belmira
Carolina del Príncipe
Gómez Plata
Guadalupe
Yarumal
Angostura
Ituango
Toledo
Briceño
San Andrés de Cuerquia
Campamento 
Valdivia
Anzá
Armenia
Buritica
Caicedo
Ebéjico
Heliconia
Liborina
Olaya
Sabanalarga
San Jerónimo
Santa Fe de Antioquia
Sopetrán
Abriaquí
Cañasgordas
Dabeiba
Frontino
Giraldo
Peque 
Uramita
El Carmen de Viboral
El Retiro
Santuario
Guarne
La Ceja
La Unión
Marinilla
Rionegro
San Vicente
Alejandría
Concepción
El Peñol
Granada
Guatapé
San Carlos
San Rafael
Sonsón
Nariño
Argelia
Abejorral
Cocorná
San Francisco
San Luis
Amagá
Andes
Angelópolis
Betania
Betulia
Caramanta
Ciudad Bolívar
Concordia
Fredonia
Hispania
Jardín
Jericó
La Pintada
Montebello
Pueblorrico
Salgar
Santa Bárbara
Támesis
Tarso
Titiribí
Urrao
Valparaíso 
Venecia
Apartado
Carepa
Chigorodó
Turbo
Arboletes
Necoclí
San Juan de Urabá
San Pedro de Urabá
Murindó
Mutatá 
Vigía del Fuerte


